track_file; timestamp of the run; had_video; was_guided; was_force_merge_allowed; distance_from_calculated_arena; max_trace_gap; min_trace_length; bee_max_step_len; bee_max_step_len_per_frame; max_trace_gap_to_interpolate_distance; max_step_distance_to_merge_overlapping_traces; force_merge_vicinity; screen_size; loaded traces; inside arena; zero length; jumps forth and back fixed; traces swapped; after first gaps and redundant; after merging overlapping traces; population size 
../data/Video_tracking/190905/20190905_113138227_1BEE_generated_20210528_064758_nn.csv; 2022-10-19 17:09:46.219748; Unknown; Unknown; Unknown; 50; 150; ; 10; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 112; 111; ; 2; 0; 16; 16; 1
../data/Video_tracking/190905/20190905_113138227_1BEE_generated_20210528_064758_nn.csv; 2022-10-24 22:25:01.604777; Unknown; Unknown; Unknown; 53; 150; ; 10; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 112; 111; ; 2; 0; 16; 16; 1
../data/Video_tracking/190905/20190905_113138227_1BEE_generated_20210528_064758_nn.csv; 2022-10-25 16:30:32.691885; Unknown; Unknown; Unknown; 50; 500; ; 1; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 112; 111; ; 2; 0; 5; 5; 1
../data/Video_tracking/190905/20190905_113138227_1BEE_generated_20210528_064758_nn.csv; 2022-10-25 18:04:52.903853; Unknown; Unknown; Unknown; 50; 300; ; 1; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 112; 111; ; 2; 0; 6; 6; 1
../data/Video_tracking/190905/20190905_113138227_1BEE_generated_20210528_064758_nn.csv; 2022-10-25 18:06:57.428484; Unknown; Unknown; Unknown; 50; 200; ; 1; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 112; 111; ; 2; 0; 17; 17; 1
../data/Video_tracking/190905/20190905_113138227_1BEE_generated_20210528_064758_nn.csv; 2022-10-25 18:09:02.236632; Unknown; Unknown; Unknown; 50; 200; ; 10; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 112; 111; ; 2; 0; 17; 17; 1
../data/Video_tracking/190905/20190905_113138227_1BEE_generated_20210528_064758_nn.csv; 2022-10-26 14:00:00.299989; Unknown; Unknown; Unknown; 50; 200; ; 10; 50; 28; 100; 230; ; [[0, 900], [0, 900]]; 112; 111; 50; 2; 0; 17; 17; 1
../data/Video_tracking/190905/20190905_113138227_1BEE_generated_20210528_064758_nn.csv; 2022-10-27 17:36:32.219875; Unknown; Unknown; Unknown; 53; 150; ; 10; 50; 28; 100; 200; ; [[0, 900], [0, 900]]; 112; 111; 50; 2; 0; 16; 16; 1
../data/Video_tracking/190905/20190905_113138227_1BEE_generated_20210528_064758_nn.csv; 2022-10-27 18:31:43.595374; Unknown; Unknown; Unknown; 53; 150; ; 10; 50; 28; 100; 200; 200; [[0, 900], [0, 900]]; 112; 111; 50; 2; 0; 16; 13; 1
../data/Video_tracking/190905/20190905_113138227_1BEE_generated_20210528_064758_nn.csv; 2022-10-30 18:52:51.286920; Unknown; Unknown; Unknown; 53; 150; ; 10; 50; 28; 100; 200; 200; [[0, 900], [0, 900]]; 112; 111; 50; 2; 0; 15; 12; 1
